State,District,Disease,ISO_Year,ISO_Week,Cases,Deaths,Latitude,Longitude,Precipitation,Surface Temperature,LAI,Date
Andaman And Nicobar Islands,Andaman,Acute Diarrhoeal Disease,2019,23,8.0,0.0,13.51111965,92.91738842,0.77260494,301.72,33.0,2019-06-06
Andaman And Nicobar Islands,Andaman,Acute Diarrhoeal Disease,2019,41,30.0,0.0,13.51111965,92.91738842,0.1498575146,298.9066666,42.0,2019-10-09
Andaman And Nicobar Islands,North And Middle Andaman,Acute Diarrhoeal Disease,2013,51,86.0,0.0,12.61123865,92.83165406,0.1881493739,298.2,53.0,2013-12-16
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2011,25,128.0,0.0,14.6546235,77.55625984,0.027714734020000003,307.82,,2011-06-26
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2011,35,25.0,0.0,14.6546235,77.55625984,0.2521427967,,7.0,2011-09-03
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2012,20,25.0,0.0,14.6546235,77.55625984,0.08289797767,312.8,3.0,2012-05-18
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2013,23,59.0,0.0,14.6546235,77.55625984,0.1960967701,,2.0,2013-06-04
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2013,32,34.0,2.0,14.6546235,77.55625984,0.03424359017,308.62,,2013-08-05
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2014,26,12.0,0.0,14.6546235,77.55625984,0.00685651061,307.90500000000003,3.0,2014-06-27
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2015,25,71.0,0.0,14.6546235,77.55625984,0.1592405045,313.15000000000003,5.0,2015-06-15
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2016,22,11.0,0.0,14.6546235,77.55625984,0.09720540554,312.5,4.0,2016-06-02
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2021,9,30.0,0.0,14.6546235,77.55625984,3.87e-05,313.216,,2021-03-05
Andhra Pradesh,Anantapur,Cholera,2012,51,23.0,0.0,14.6546235,77.55625984,9.79e-05,306.06,6.0,2012-12-20
Andhra Pradesh,Anantapur,Malaria,2010,23,68.0,0.0,14.6546235,77.55625984,0.2540483378,311.175,,2010-06-09
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2010,13,14.0,0.0,13.1601048,79.15555062,0.05093987381,310.872,7.0,2010-04-03
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2010,17,30.0,0.0,13.1601048,79.15555062,0.007357521231,309.85200000000003,7.0,2010-04-27
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2010,20,81.0,0.0,13.1601048,79.15555062,0.01809973349,310.2905,11.0,2010-05-17
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2010,24,25.0,3.0,13.1601048,79.15555062,0.41110525789999997,304.84000000000003,11.0,2010-06-14
