Original State,Original District,Canonical State,Canonical District,Decision,Reason
Andhra Pradesh,Chittoor,Andhra Pradesh,Chittor,APPROVE,Connected component merge
Assam,Karbi - Anglong,Assam,Karbi Anglong,APPROVE,Connected component merge
Assam,Morigaon,Assam,Marigaon,APPROVE,Connected component merge
Gujarat,Ahmedabad,Gujarat,Ahmadabad,APPROVE,Connected component merge
Gujarat,Gandhi Nagar,Gujarat,Gandhinagar,APPROVE,Connected component merge
Gujarat,Junagarh,Gujarat,Junagadh,APPROVE,Connected component merge
Karnataka,Chamarajanagar,Karnataka,Chamrajnagar,APPROVE,Connected component merge
Karnataka,Chikkaballapur,Karnataka,Chikballapur,APPROVE,Connected component merge
Karnataka,Chikkaballapura,Karnataka,Chikballapur,APPROVE,Connected component merge
Karnataka,Chikkamagaluru,Karnataka,Chikmagalur,APPROVE,Connected component merge
Karnataka,Dakshina Kannada,Karnataka,Dakshin Kannada,APPROVE,Connected component merge
Karnataka,Davangere.,Karnataka,Davangere,APPROVE,Connected component merge
Karnataka,Davanagere,Karnataka,Davangere,APPROVE,Connected component merge
Karnataka,Kalaburagi,Karnataka,Kalburgi,APPROVE,Connected component merge
Karnataka,Kalaburgi,Karnataka,Kalburgi,APPROVE,Connected component merge
Karnataka,Tumakuru,Karnataka,Tumkur,APPROVE,Connected component merge
Karnataka,Vijayapur,Karnataka,Vijapura,APPROVE,Connected component merge
Karnataka,Vijayapura,Karnataka,Vijapura,APPROVE,Connected component merge
Karnataka,Yadgiri,Karnataka,Yadgir,APPROVE,Connected component merge
Kerala,Mallapuram,Kerala,Malappuram,APPROVE,Connected component merge
Madhya Pradesh,Ashok Nagar,Madhya Pradesh,Ashoknagar,APPROVE,Connected component merge
Maharashtra,Nashik,Maharashtra,Nasik,APPROVE,Connected component merge
Odisha,Bolangir,Odisha,Balangir,APPROVE,Connected component merge
Odisha,Sundergarh,Odisha,Sundargarh,APPROVE,Connected component merge
Tamil Nadu,Dindigul - Palani,Tamil Nadu,Dindigul-Palani,APPROVE,Connected component merge
Tamil Nadu,Pudukkottai,Tamil Nadu,Pudukottai,APPROVE,Connected component merge
Tamil Nadu,Ramanathapuram- Paramakudi,Tamil Nadu,Ramanathapuram Paramakudi,APPROVE,Connected component merge
Tamil Nadu,Thiruvalluvar,Tamil Nadu,Tiruvallur,APPROVE,Connected component merge
Tamil Nadu,Thiruvallur,Tamil Nadu,Tiruvallur,APPROVE,Connected component merge
Tamil Nadu,Thiruvarur,Tamil Nadu,Tiruvarur,APPROVE,Connected component merge
Tamil Nadu,Tiruchirappalli,Tamil Nadu,Tiruchirapalli,APPROVE,Connected component merge
Tamil Nadu,Tirunelveli- Sankarankovil,Tamil Nadu,Tirunelveli Sankarankovil,APPROVE,Connected component merge
Tamil Nadu,Viluppuram,Tamil Nadu,Villupuram,APPROVE,Connected component merge
Tamil Nadu,Villupuram - Kallakurichi,Tamil Nadu,Villupuram  Kallakurichi,APPROVE,Connected component merge
Tamil Nadu,Villupuram- Kallakurichi,Tamil Nadu,Villupuram  Kallakurichi,APPROVE,Connected component merge
Tamil Nadu,Virudhunagar- Sivakasi,Tamil Nadu,Virudhunagar Sivakasi,APPROVE,Connected component merge
Tamil Nadu,Virudhunagar (Sivakasi),Tamil Nadu,Virudhunagar Sivakasi,APPROVE,Connected component merge
Tamil Nadu,Virudhunagar - Sivakasi,Tamil Nadu,Virudhunagar Sivakasi,APPROVE,Connected component merge
Telangana,Mahabubnagar,Telangana,Mahbubnagar,APPROVE,Connected component merge
West Bengal,North 24 Parganas,West Bengal,24 North Parganas,APPROVE,Connected component merge
West Bengal,Midnapore West,West Bengal,Midnapur West,APPROVE,Connected component merge
West Bengal,Puruliya,West Bengal,Purulia,APPROVE,Connected component merge
West Bengal,South 24 Parganas,West Bengal,South Parganas,APPROVE,Connected component merge
Bihar,East Champaran,Bihar,East Champaran,REJECT,Different geographic divisions (East/West)
Bihar,West Champaran,Bihar,West Champaran,REJECT,Different geographic divisions (East/West)
Karnataka,Bangalore Rural,Karnataka,Bangalore Rural,REJECT,Different administrative divisions (Rural/Urban)
Karnataka,Bangalore Urban,Karnataka,Bangalore Urban,REJECT,Different administrative divisions (Rural/Urban)
Mizoram,Aizawl East,Mizoram,Aizawl East,REJECT,Different geographic divisions (East/West)
Mizoram,Aizawl West,Mizoram,Aizawl West,REJECT,Different geographic divisions (East/West)
