State,Candidate_A,Candidate_B,Similarity_Score,Coordinate_Distance,Decision,Canonical_Name,Reason
Andhra Pradesh,Chittoor,Chittor,93.33,0.0852,,Chittor,High string similarity and identical/proximate coordinates
Assam,Karbi - Anglong,Karbi Anglong,92.86,0.0,,Karbi Anglong,High string similarity and identical/proximate coordinates
Assam,Marigaon,Morigaon,87.5,0.0512,,Morigaon,High string similarity and identical/proximate coordinates
Bihar,East Champaran,West Champaran,92.86,0.1713,,,Different geographic divisions (East/West)
Gujarat,Ahmadabad,Ahmedabad,88.89,0.0,,Ahmedabad,High string similarity and identical/proximate coordinates
Gujarat,Gandhi Nagar,Gandhinagar,95.65,0.177,,Gandhinagar,High string similarity and identical/proximate coordinates
Gujarat,Junagadh,Junagarh,87.5,0.2977,,Junagarh,High string similarity and identical/proximate coordinates
Karnataka,Bangalore Rural,Bangalore Urban,86.67,0.2246,,,Different administrative divisions (Rural/Urban)
Karnataka,Chamarajanagar,Chamrajnagar,92.31,0.0123,,Chamrajnagar,High string similarity and identical/proximate coordinates
Karnataka,Chikballapur,Chikkaballapur,92.31,0.2855,,Chikballapur,High string similarity and identical/proximate coordinates
Karnataka,Chikballapur,Chikkaballapura,88.89,0.0085,,Chikballapur,High string similarity and identical/proximate coordinates
Karnataka,Chikkaballapur,Chikkaballapura,96.55,0.2795,,Chikkaballapur,High string similarity and identical/proximate coordinates
Karnataka,Chikkamagaluru,Chikmagalur,88.0,0.3288,,Chikmagalur,High string similarity and identical/proximate coordinates
Karnataka,Dakshin Kannada,Dakshina Kannada,96.77,0.0702,,Dakshin Kannada,High string similarity and identical/proximate coordinates
Karnataka,Davanagere,Davangere,94.74,0.0021,,Davangere,High string similarity and identical/proximate coordinates
Karnataka,Davanagere,Davangere.,90.0,0.0021,,Davangere.,High string similarity and identical/proximate coordinates
Karnataka,Davangere,Davangere.,94.74,0.0,,Davangere,High string similarity and identical/proximate coordinates
Karnataka,Kalaburagi,Kalaburgi,94.74,0.2923,,Kalaburgi,High string similarity and identical/proximate coordinates
Karnataka,Kalaburagi,Kalburgi,88.89,0.0,,Kalburgi,High string similarity and identical/proximate coordinates
Karnataka,Kalaburgi,Kalburgi,94.12,0.2923,,Kalburgi,High string similarity and identical/proximate coordinates
Karnataka,Tumakuru,Tumkur,85.71,0.0,,Tumkur,High string similarity and identical/proximate coordinates
Karnataka,Vijapura,Vijayapura,88.89,0.2556,,Vijapura,High string similarity and identical/proximate coordinates
Karnataka,Vijayapur,Vijayapura,94.74,0.2424,,Vijayapur,High string similarity and identical/proximate coordinates
Karnataka,Yadgir,Yadgiri,92.31,0.0215,,Yadgir,High string similarity and identical/proximate coordinates
Kerala,Malappuram,Mallapuram,90.0,0.4566,,Mallapuram,High string similarity and identical/proximate coordinates
Madhya Pradesh,Ashok Nagar,Ashoknagar,95.24,0.1545,,Ashoknagar,High string similarity and identical/proximate coordinates
Maharashtra,Nashik,Nasik,90.91,0.0,,Nasik,High string similarity and identical/proximate coordinates
Mizoram,Aizawl East,Aizawl West,90.91,0.0,,,Different geographic divisions (East/West)
Odisha,Balangir,Bolangir,87.5,0.191,,Bolangir,High string similarity and identical/proximate coordinates
Odisha,Sundargarh,Sundergarh,90.0,0.0585,,Sundergarh,High string similarity and identical/proximate coordinates
Tamil Nadu,Dindigul - Palani,Dindigul-Palani,87.5,0.0,,Dindigul-Palani,High string similarity and identical/proximate coordinates
Tamil Nadu,Pudukkottai,Pudukottai,95.24,0.1182,,Pudukottai,High string similarity and identical/proximate coordinates
Tamil Nadu,Ramanathapuram Paramakudi,Ramanathapuram- Paramakudi,98.04,0.0,,Ramanathapuram Paramakudi,High string similarity and identical/proximate coordinates
Tamil Nadu,Thiruvallur,Thiruvalluvar,91.67,0.1684,,Thiruvallur,High string similarity and identical/proximate coordinates
Tamil Nadu,Thiruvallur,Tiruvallur,95.24,0.0196,,Tiruvallur,High string similarity and identical/proximate coordinates
Tamil Nadu,Thiruvalluvar,Tiruvallur,86.96,0.1867,,Tiruvallur,High string similarity and identical/proximate coordinates
Tamil Nadu,Thiruvarur,Tiruvarur,94.74,0.042,,Tiruvarur,High string similarity and identical/proximate coordinates
Tamil Nadu,Tiruchirapalli,Tiruchirappalli,96.55,0.0228,,Tiruchirapalli,High string similarity and identical/proximate coordinates
Tamil Nadu,Tirunelveli Sankarankovil,Tirunelveli- Sankarankovil,98.04,0.0,,Tirunelveli Sankarankovil,High string similarity and identical/proximate coordinates
