date,year,month,week,day,day_of_week,state,district,taluk,latitude,longitude,geo_valid,disease,cases,is_extreme_case,deaths,deaths_missing_flag,temp_c,temp_imputed,precipitation_mm,preci_imputed,lai,lai_missing_flag,symptoms,provenance,provenance_details,cases_lag_1_obs,cases_lag_2_obs,cases_lag_3_obs,cases_lag_4_obs,deaths_lag_1_obs,deaths_lag_2_obs,has_historical_lags,cases_rolling_mean_4_obs,cases_rolling_std_4_obs,cases_rolling_min_4_obs,cases_rolling_max_4_obs,cases_rolling_median_4_obs,cases_rolling_mean_8_obs,cases_rolling_std_8_obs,cases_rolling_mean_12_obs,cases_rolling_std_12_obs,case_change_1_obs,case_change_2_obs,case_growth_rate_1_obs,previous_growth_rate,case_acceleration,case_velocity,historical_case_mean,historical_case_median,historical_case_std,historical_case_min,historical_case_max,baseline_deviation,recent_case_ratio,month_sin,month_cos,week_sin,week_cos,temp_lag_1_obs,temp_lag_2_obs,preci_lag_1_obs,preci_lag_2_obs,temp_rolling_mean_4_obs,preci_rolling_mean_4_obs,historical_temp_mean,historical_preci_mean,temp_anomaly,preci_anomaly,neighbor_case_mean,neighbor_case_max,neighbor_case_sum,neighbor_active_location_count,neighbor_case_growth_mean,neighbor_anomaly_mean,distance_to_nearest_active_location,distance_to_highest_case_neighbor,no_geographic_neighbor_flag,no_reporting_neighbor_flag,disease_total_cases,disease_location_count,disease_active_location_count,location_case_share,district_cases,district_case_share,taluk_case_share,neighbor_activity,spatial_case_share
2020-11-19,2020,11,47,19,Thursday,Kerala,Alappuzha,Ambalappuzha,9.5006651,76.41241429,1,acute_diarrheal_disease,224,0,1.0,0,29.110000000000014,0,0.551775,0,,1,"Frequent loose stools, abdominal cramps, nausea, vomiting, dehydration",SYNTHETIC,taluk_assignment_status: SYNTHETIC_SPLIT Ã¢ district-level annual total for Kozhikode (2020) divided across its 4 real taluks (largest-remainder rounding); not derived from taluk-level surveillance data | status: SYNTHETIC_DISEASE_AND_GEOGRAPHY_MIXED; YEAR_PRESERVED; DISTRICT_TALUK_COORDINATES_KEPT_AS_VALID_PACKAGES,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,-0.6528221181905214,0.7575112421616204,,,,,,,,,,,,,,0,,,,,0,1,271,6,6,0.8265682656826568,224,0.8265682656826568,1.0,0,0.8265682656826568
2021-12-28,2021,12,52,28,Tuesday,Kerala,Alappuzha,Ambalappuzha,9.5006651,76.41241429,1,acute_diarrheal_disease,115,0,0.0,0,25.860000000000014,0,1.629608,0,,1,"Frequent loose stools, abdominal cramps, nausea, vomiting, dehydration",SYNTHETIC,taluk_assignment_status: SYNTHETIC_SPLIT Ã¢ district-level annual total for Idukki (2021) divided across its 5 real taluks (largest-remainder rounding); not derived from taluk-level surveillance data | status: SYNTHETIC_DISEASE_AND_GEOGRAPHY_MIXED; YEAR_PRESERVED; DISTRICT_TALUK_COORDINATES_KEPT_AS_VALID_PACKAGES,224.0,,,,1.0,,1,224.0,,224.0,224.0,224.0,224.0,,224.0,,-109.0,,-0.48444444444444446,,,-109.0,224.0,224.0,,224.0,224.0,,0.5111111111111111,-2.4492935982947064e-16,1.0,-0.11827317092136551,0.992981096013517,29.110000000000014,,0.551775,,29.110000000000014,0.551775,29.110000000000014,0.551775,-3.25,1.077833,,,,0,,,,,0,1,137,4,4,0.8394160583941606,116,0.8467153284671532,0.9913793103448276,0,0.8394160583941606
2023-02-05,2023,2,5,5,Sunday,Kerala,Alappuzha,Ambalappuzha,9.5006651,76.41241429,1,acute_diarrheal_disease,5,0,0.0,0,26.890000000000043,0,0.694503,0,,1,"Frequent loose stools, abdominal cramps, nausea, vomiting, dehydration",SYNTHETIC,taluk_assignment_status: SYNTHETIC_SPLIT Ã¢ district-level annual total for Pathanamthitta (2023) divided across its 6 real taluks (largest-remainder rounding); not derived from taluk-level surveillance data | status: SYNTHETIC_DISEASE_AND_GEOGRAPHY_MIXED; YEAR_PRESERVED; DISTRICT_TALUK_COORDINATES_KEPT_AS_VALID_PACKAGES,115.0,224.0,,,0.0,1.0,1,169.5,77.07463914933368,115.0,224.0,169.5,169.5,77.07463914933368,169.5,77.07463914933368,-110.0,-219.0,-0.9482758620689655,-0.48444444444444446,-0.46383141762452107,-110.0,169.5,169.5,77.07463914933368,115.0,224.0,-2.1342947799116896,0.02932551319648094,0.8660254037844386,0.5000000000000001,0.5586467658036525,0.8294056854502019,25.860000000000014,29.110000000000014,1.629608,0.551775,27.485000000000014,1.0906915,27.485000000000014,1.0906915,-0.5949999999999704,-0.39618849999999994,,,,0,,,,,0,1,28303,3,3,0.00017665971805108999,5,0.00017665971805108999,1.0,0,0.00017665971805108999
2023-07-07,2023,7,27,7,Friday,Kerala,Alappuzha,Ambalappuzha,9.5006651,76.41241429,1,acute_diarrheal_disease,8,0,0.0,0,29.410000000000025,0,0.062429,0,,1,"Frequent loose stools, abdominal cramps, nausea, vomiting, dehydration",SYNTHETIC,taluk_assignment_status: SYNTHETIC_SPLIT Ã¢ district-level annual total for Palakkad (2023) divided across its 6 real taluks (largest-remainder rounding); not derived from taluk-level surveillance data | status: SYNTHETIC_DISEASE_AND_GEOGRAPHY_MIXED; YEAR_PRESERVED; DISTRICT_TALUK_COORDINATES_KEPT_AS_VALID_PACKAGES,5.0,115.0,224.0,,0.0,0.0,1,114.66666666666667,109.50038051684264,5.0,224.0,115.0,114.66666666666667,109.50038051684264,114.66666666666667,109.50038051684264,3.0,-107.0,0.5,-0.9482758620689655,1.4482758620689655,3.0,114.66666666666667,115.0,109.50038051684264,5.0,224.0,-0.9741214246306651,0.06916426512968299,-0.4999999999999997,-0.8660254037844388,-0.05924062789371389,-0.9982437317643215,26.890000000000043,25.860000000000014,0.694503,1.629608,27.28666666666669,0.9586286666666667,27.28666666666669,0.9586286666666667,2.123333333333335,-0.8961996666666667,,,,0,,,,,0,1,34482,7,7,0.00023200510411229048,8,0.00023200510411229048,1.0,0,0.00023200510411229048
2023-12-29,2023,12,52,29,Friday,Kerala,Alappuzha,Ambalappuzha,9.5006651,76.41241429,1,acute_diarrheal_disease,1,0,1.0,0,25.860000000000014,0,1.629608,0,,1,"Frequent loose stools, abdominal cramps, nausea, vomiting, dehydration",SYNTHETIC,taluk_assignment_status: SYNTHETIC_SPLIT Ã¢ district-level annual total for Thrissur (2023) divided across its 7 real taluks (largest-remainder rounding); not derived from taluk-level surveillance data | status: SYNTHETIC_DISEASE_AND_GEOGRAPHY_MIXED; YEAR_PRESERVED; DISTRICT_TALUK_COORDINATES_KEPT_AS_VALID_PACKAGES,8.0,5.0,115.0,224.0,0.0,0.0,1,88.0,104.10571550111933,5.0,224.0,61.5,88.0,104.10571550111933,88.0,104.10571550111933,-7.0,-4.0,-0.7777777777777778,0.5,-1.2777777777777777,-7.0,88.0,61.5,104.10571550111933,5.0,224.0,-0.8356889876912146,0.011235955056179775,-2.4492935982947064e-16,1.0,-0.11827317092136551,0.992981096013517,29.410000000000025,26.890000000000043,0.062429,0.694503,27.817500000000024,0.7345787500000001,27.817500000000024,0.7345787500000001,-1.9575000000000102,0.8950292499999999,,,,0,,,,,0,1,782,6,6,0.0012787723785166241,1,0.0012787723785166241,1.0,0,0.0012787723785166241
2024-09-10,2024,9,37,10,Tuesday,Kerala,Alappuzha,Ambalappuzha,9.5006651,76.41241429,1,acute_diarrheal_disease,511,0,0.0,0,35.29000000000002,0,0.12751,0,,1,"Frequent loose stools, abdominal cramps, nausea, vomiting, dehydration",SYNTHETIC,taluk_assignment_status: SYNTHETIC_SPLIT Ã¢ district-level annual total for Pathanamthitta (2024) divided across its 6 real taluks (largest-remainder rounding); not derived from taluk-level surveillance data | status: SYNTHETIC_DISEASE_AND_GEOGRAPHY_MIXED; YEAR_PRESERVED; DISTRICT_TALUK_COORDINATES_KEPT_AS_VALID_PACKAGES,1.0,8.0,5.0,115.0,1.0,0.0,1,32.25,55.24113805248161,1.0,115.0,6.5,70.6,98.19521373264584,70.6,98.19521373264584,510.0,503.0,255.0,-0.7777777777777778,255.77777777777777,510.0,70.6,8.0,98.19521373264584,1.0,224.0,4.484943647040357,15.368421052631579,-1.0,-1.8369701987210297e-16,-0.9473263538541913,-0.32026985386283807,25.860000000000014,29.410000000000025,1.629608,0.062429,27.005000000000024,1.0040369999999998,27.426000000000023,0.9135846000000001,7.863999999999997,-0.7860746000000001,,,,0,,,,,0,1,1498,5,5,0.3411214953271028,511,0.3411214953271028,1.0,0,0.3411214953271028
2024-12-28,2024,12,52,28,Saturday,Kerala,Alappuzha,Ambalappuzha,9.5006651,76.41241429,1,acute_diarrheal_disease,13,0,0.0,0,25.860000000000014,0,1.629608,0,,1,"Frequent loose stools, abdominal cramps, nausea, vomiting, dehydration",SYNTHETIC,taluk_assignment_status: SYNTHETIC_SPLIT Ã¢ district-level annual total for Ernakulam (2024) divided across its 7 real taluks (largest-remainder rounding); not derived from taluk-level surveillance data | status: SYNTHETIC_DISEASE_AND_GEOGRAPHY_MIXED; YEAR_PRESERVED; DISTRICT_TALUK_COORDINATES_KEPT_AS_VALID_PACKAGES,511.0,1.0,8.0,5.0,0.0,1.0,1,131.25,253.18290489946853,1.0,511.0,6.5,144.0,200.0979760017577,144.0,200.0979760017577,-498.0,12.0,-0.97265625,255.0,-255.97265625,-498.0,144.0,61.5,200.0979760017577,1.0,511.0,-0.6546792857057648,0.09829867674858223,-2.4492935982947064e-16,1.0,-0.11827317092136551,0.992981096013517,35.29000000000002,25.860000000000014,0.12751,1.629608,29.362500000000026,0.6285125,28.73666666666669,0.7825721666666666,-2.876666666666676,0.8470358333333333,,,,0,,,,,0,1,369,2,2,0.03523035230352303,13,0.03523035230352303,1.0,0,0.03523035230352303
2024-12-29,2024,12,52,29,Sunday,Kerala,Alappuzha,Ambalappuzha,9.5006651,76.41241429,1,acute_diarrheal_disease,14,0,0.0,0,25.860000000000014,0,1.629608,0,,1,"Frequent loose stools, abdominal cramps, nausea, vomiting, dehydration",SYNTHETIC,taluk_assignment_status: SYNTHETIC_SPLIT Ã¢ district-level annual total for Kozhikode (2024) divided across its 4 real taluks (largest-remainder rounding); not derived from taluk-level surveillance data | status: SYNTHETIC_DISEASE_AND_GEOGRAPHY_MIXED; YEAR_PRESERVED; DISTRICT_TALUK_COORDINATES_KEPT_AS_VALID_PACKAGES,13.0,511.0,1.0,8.0,0.0,0.0,1,133.25,251.88142051370124,1.0,511.0,10.5,125.28571428571429,189.25530753078348,125.28571428571429,189.25530753078348,1.0,-497.0,0.07142857142857142,-0.97265625,1.0440848214285714,1.0,125.28571428571429,13.0,189.25530753078348,1.0,511.0,-0.5880189873544921,0.1042830540037244,-2.4492935982947064e-16,1.0,-0.11827317092136551,0.992981096013517,25.860000000000014,35.29000000000002,1.629608,0.12751,29.105000000000018,0.86228875,28.325714285714305,0.9035772857142856,-2.4657142857142915,0.7260307142857143,,,,0,,,,,0,1,633,2,2,0.022116903633491312,14,0.022116903633491312,1.0,0,0.022116903633491312
2020-11-24,2020,11,48,24,Tuesday,Kerala,Alappuzha,Chenganoor,9.3167,76.6167,1,acute_diarrheal_disease,9,0,5.0,0,29.40000000000004,0,0.689052,0,,1,"Frequent loose stools, abdominal cramps, nausea, vomiting, dehydration",SYNTHETIC,taluk_assignment_status: SYNTHETIC_SPLIT Ã¢ district-level annual total for Thiruvananthapuram (2020) divided across its 6 real taluks (largest-remainder rounding); not derived from taluk-level surveillance data | status: SYNTHETIC_DISEASE_AND_GEOGRAPHY_MIXED; YEAR_PRESERVED; DISTRICT_TALUK_COORDINATES_KEPT_AS_VALID_PACKAGES,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,-0.5586467658036526,0.8294056854502017,,,,,,,,,,,,,,0,,,,,0,1,12,3,3,0.75,9,0.75,1.0,0,0.75
2023-11-24,2023,11,47,24,Friday,Kerala,Alappuzha,Chenganoor,9.3167,76.6167,1,acute_diarrheal_disease,277,0,0.0,0,29.40000000000004,0,0.689052,0,,1,"Frequent loose stools, abdominal cramps, nausea, vomiting, dehydration",SYNTHETIC,taluk_assignment_status: SYNTHETIC_SPLIT Ã¢ district-level annual total for Palakkad (2023) divided across its 6 real taluks (largest-remainder rounding); not derived from taluk-level surveillance data | status: SYNTHETIC_DISEASE_AND_GEOGRAPHY_MIXED; YEAR_PRESERVED; DISTRICT_TALUK_COORDINATES_KEPT_AS_VALID_PACKAGES,9.0,,,,5.0,,1,9.0,,9.0,9.0,9.0,9.0,,9.0,,268.0,,26.8,,,268.0,9.0,9.0,,9.0,9.0,,27.7,-0.5000000000000004,0.8660254037844384,-0.6528221181905214,0.7575112421616204,29.40000000000004,,0.689052,,29.40000000000004,0.689052,29.40000000000004,0.689052,0.0,0.0,,,,0,,,,,0,1,286,4,4,0.9685314685314685,277,0.9685314685314685,1.0,0,0.9685314685314685
2024-10-15,2024,10,42,15,Tuesday,Kerala,Alappuzha,Chenganoor,9.3167,76.6167,1,acute_diarrheal_disease,1,0,0.0,0,29.390000000000043,0,0.56571,0,,1,"Frequent loose stools, abdominal cramps, nausea, vomiting, dehydration",SYNTHETIC,taluk_assignment_status: SYNTHETIC_SPLIT Ã¢ district-level annual total for Thrissur (2024) divided across its 7 real taluks (largest-remainder rounding); not derived from taluk-level surveillance data | status: SYNTHETIC_DISEASE_AND_GEOGRAPHY_MIXED; YEAR_PRESERVED; DISTRICT_TALUK_COORDINATES_KEPT_AS_VALID_PACKAGES,277.0,9.0,,,0.0,5.0,1,143.0,189.50461735799473,9.0,277.0,143.0,143.0,189.50461735799473,143.0,189.50461735799473,-276.0,-8.0,-0.9928057553956835,26.8,-27.792805755395683,-276.0,143.0,143.0,189.50461735799473,9.0,277.0,-0.74932211140664,0.006944444444444444,-0.8660254037844386,0.5000000000000001,-0.9646355819083585,0.263587166069068,29.40000000000004,29.40000000000004,0.689052,0.689052,29.40000000000004,0.689052,29.40000000000004,0.689052,-0.00999999999999801,-0.12334199999999995,,,,0,,,,,0,1,102,5,5,0.00980392156862745,1,0.00980392156862745,1.0,0,0.00980392156862745
