date,disease,state,district,number_of_outbreak_locations,aggregate_intensity,maximum_intensity,affected_taluk_count
2020-01-01,acute_diarrheal_disease,Kerala,Palakkad,1,0.0,0.0,1
2020-01-01,acute_diarrheal_disease,Kerala,Thiruvananthapuram,1,0.0,0.0,1
2020-01-01,acute_encephalitis_syndrome,Kerala,Malappuram,0,0.0,0.0,1
2020-01-01,chicken_pox,Kerala,Alappuzha,1,0.0,0.0,1
2020-01-01,chicken_pox,Kerala,Kannur,1,0.0,0.0,1
2020-01-01,chicken_pox,Kerala,Kottayam,1,0.0,0.0,1
2020-01-01,chicken_pox,Kerala,Malappuram,1,0.0,0.0,1
2020-01-01,hepatitis_c,Kerala,Pathanamthitta,1,0.0,0.0,1
2020-01-01,leptospirosis_confirmed,Kerala,Kannur,1,0.0,0.0,2
2020-01-01,leptospirosis_confirmed,Kerala,Malappuram,0,0.0,0.0,1
2020-01-01,leptospirosis_confirmed,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-01-01,leptospirosis_confirmed,Kerala,Thrissur,0,0.0,0.0,1
2020-01-01,malaria,Kerala,Malappuram,0,0.0,0.0,1
2020-01-02,acute_diarrheal_disease,Kerala,Idukki,0,0.0,0.0,1
2020-01-02,acute_diarrheal_disease,Kerala,Kollam,1,0.0,0.0,1
2020-01-02,chicken_pox,Kerala,Malappuram,0,0.0,0.0,1
2020-01-02,chicken_pox,Kerala,Palakkad,1,0.0,0.0,1
2020-01-02,hepatitis_c,Kerala,Kollam,0,0.2241363266003186,0.2241363266003186,1
2020-01-02,leptospirosis_confirmed,Kerala,Kasaragod,1,0.0,0.0,1
2020-01-02,malaria,Kerala,Kasaragod,0,0.0,0.0,1
2020-01-03,acute_diarrheal_disease,Kerala,Ernakulam,2,0.0002964826271853,0.0002964826271853,1
2020-01-03,acute_diarrheal_disease,Kerala,Thrissur,0,0.0,0.0,1
2020-01-03,chicken_pox,Kerala,Kannur,1,0.0,0.0,1
2020-01-03,chicken_pox,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-01-04,acute_diarrheal_disease,Kerala,Ernakulam,0,0.0,0.0,1
2020-01-04,acute_diarrheal_disease,Kerala,Thiruvananthapuram,2,0.0,0.0,2
2020-02-01,dengue,Kerala,Alappuzha,1,0.0,0.0,2
2020-02-01,dengue,Kerala,Ernakulam,0,0.0,0.0,1
2020-02-01,dengue,Kerala,Malappuram,0,0.0,0.0,1
2020-02-01,dengue,Kerala,Thiruvananthapuram,1,0.0,0.0,1
2020-02-01,hepatitis_a_probable,Kerala,Ernakulam,0,0.0,0.0,1
2020-02-01,hepatitis_a_probable,Kerala,Thiruvananthapuram,1,0.0,0.0,1
2020-02-01,typhoid,Kerala,Pathanamthitta,0,0.0,0.0,1
2020-02-02,hepatitis_a_probable,Kerala,Kottayam,1,0.0,0.0,1
2020-02-02,typhoid,Kerala,Kasaragod,1,0.0,0.0,1
2020-02-04,chicken_pox,Kerala,Alappuzha,1,0.0139049661213929,0.0139049661213929,1
2020-02-04,chicken_pox,Kerala,Kasaragod,0,0.0,0.0,1
2020-02-04,chicken_pox,Kerala,Kozhikode,1,0.0,0.0,1
2020-02-05,chicken_pox,Kerala,Idukki,0,0.0,0.0,1
2020-02-05,chicken_pox,Kerala,Palakkad,0,0.0,0.0,1
2020-02-05,chicken_pox,Kerala,Wayanad,1,0.0,0.0,1
2020-02-06,chicken_pox,Kerala,Thiruvananthapuram,0,0.0,0.0,1
2020-02-06,chicken_pox,Kerala,Thrissur,0,0.0,0.0,1
2020-03-01,dengue,Kerala,Alappuzha,1,0.0,0.0,1
