cluster_id,disease,date,state,district,taluk,latitude,longitude,outbreak_intensity
1,acute_diarrheal_disease,2020-01-01,Kerala,Palakkad,Pattambi,10.8,76.2,0.0
2,acute_diarrheal_disease,2020-01-01,Kerala,Thiruvananthapuram,Varkala,8.7379,76.7163,0.0
3,acute_diarrheal_disease,2020-01-02,Kerala,Kollam,Punalur,9.0089,76.9269,0.0
4,acute_diarrheal_disease,2020-01-03,Kerala,Thrissur,Mukundapuram,10.3333,76.2167,0.0
5,acute_diarrheal_disease,2020-01-03,Kerala,Ernakulam,Aluva,10.1075,76.3516,0.0
5,acute_diarrheal_disease,2020-01-03,Kerala,Ernakulam,Aluva,10.1075,76.3516,0.0002964826271853
6,acute_diarrheal_disease,2020-01-04,Kerala,Thiruvananthapuram,Nedumangad,8.6036,77.0031,0.0
6,acute_diarrheal_disease,2020-01-04,Kerala,Thiruvananthapuram,Neyyattinkara,8.4004,77.0872,0.0
7,acute_diarrheal_disease,2020-01-04,Kerala,Ernakulam,Kothamangalam,10.0667,76.6333,0.0
8,acute_diarrheal_disease,2020-07-06,Kerala,Ernakulam,Kochi,9.9312,76.2673,0.0
9,acute_diarrheal_disease,2020-07-07,Kerala,Malappuram,Perinthalmanna,10.9667,76.2167,0.0
10,acute_diarrheal_disease,2020-08-08,Kerala,Kannur,Iritty,11.9333,75.7,0.0
11,acute_diarrheal_disease,2020-08-08,Kerala,Thiruvananthapuram,Varkala,8.7379,76.7163,0.0
12,acute_diarrheal_disease,2020-08-09,Kerala,Thiruvananthapuram,Neyyattinkara,8.4004,77.0872,0.036919912725183
13,acute_diarrheal_disease,2020-09-09,Kerala,Palakkad,Alathur,10.6333,76.55,0.0
14,acute_diarrheal_disease,2020-09-09,Kerala,Thrissur,Kunnamkulam,10.65,76.0667,0.0
15,acute_diarrheal_disease,2020-09-10,Kerala,Alappuzha,Cherthala,9.6833,76.3333,0.0
16,acute_diarrheal_disease,2020-09-11,Kerala,Malappuram,Tirurangadi,11.0,75.9333,0.0
16,acute_diarrheal_disease,2020-09-11,Kerala,Malappuram,Kondotty,11.15,75.9667,0.0
16,acute_diarrheal_disease,2020-09-11,Kerala,Kozhikode,Kozhikode,11.2450558,75.7754716,0.0
17,acute_diarrheal_disease,2020-09-11,Kerala,Ernakulam,Kochi,9.9312,76.2673,0.0194319293745078
17,acute_diarrheal_disease,2020-09-12,Kerala,Ernakulam,North Paravur,10.1333,76.2,0.0
18,acute_diarrheal_disease,2020-10-14,Kerala,Thrissur,Thrissur,10.5256264,76.2132542,0.0
18,acute_diarrheal_disease,2020-10-14,Kerala,Thrissur,Mukundapuram,10.3333,76.2167,0.0011961085951445
18,acute_diarrheal_disease,2020-10-16,Kerala,Thrissur,Thrissur,10.5256264,76.2132542,0.026461892424953
19,acute_diarrheal_disease,2020-10-14,Kerala,Ernakulam,Aluva,10.1075,76.3516,0.0136887841502626
20,acute_diarrheal_disease,2020-10-14,Kerala,Kasaragod,Nileshwaram,12.25,75.1,0.0
20,acute_diarrheal_disease,2020-10-15,Kerala,Kasaragod,Vellarikundu,12.4167,75.2333,0.0
21,acute_diarrheal_disease,2020-10-14,Kerala,Kottayam,Meenachil,9.7167,76.6833,0.0
21,acute_diarrheal_disease,2020-10-15,Kerala,Idukki,Thodupuzha,9.8955,76.7241,0.0
21,acute_diarrheal_disease,2020-10-16,Kerala,Ernakulam,Kothamangalam,10.0667,76.6333,0.0009839398679112
22,acute_diarrheal_disease,2020-10-15,Kerala,Kozhikode,Koyilandy,11.4333,75.7,0.0
23,acute_diarrheal_disease,2020-10-15,Kerala,Thiruvananthapuram,Neyyattinkara,8.4004,77.0872,0.0
24,acute_diarrheal_disease,2020-10-17,Kerala,Alappuzha,Karthikappally,9.2833,76.4667,0.0
24,acute_diarrheal_disease,2020-10-17,Kerala,Alappuzha,Mavelikkara,9.2667,76.55,0.0
25,acute_diarrheal_disease,2020-10-17,Kerala,Palakkad,Pattambi,10.8,76.2,0.0011943374387785
