date,disease,state,affected_district_count,affected_taluk_count,aggregate_intensity,maximum_intensity
2020-01-01,acute_diarrheal_disease,Kerala,2,2,0.0,0.0
2020-01-01,acute_encephalitis_syndrome,Kerala,1,1,0.0,0.0
2020-01-01,chicken_pox,Kerala,4,4,0.0,0.0
2020-01-01,hepatitis_c,Kerala,1,1,0.0,0.0
2020-01-01,leptospirosis_confirmed,Kerala,4,5,0.0,0.0
2020-01-01,malaria,Kerala,1,1,0.0,0.0
2020-01-02,acute_diarrheal_disease,Kerala,2,2,0.0,0.0
2020-01-02,chicken_pox,Kerala,2,2,0.0,0.0
2020-01-02,hepatitis_c,Kerala,1,1,0.2241363266003186,0.2241363266003186
2020-01-02,leptospirosis_confirmed,Kerala,1,1,0.0,0.0
2020-01-02,malaria,Kerala,1,1,0.0,0.0
2020-01-03,acute_diarrheal_disease,Kerala,2,2,0.0002964826271853,0.0002964826271853
2020-01-03,chicken_pox,Kerala,2,2,0.0,0.0
2020-01-04,acute_diarrheal_disease,Kerala,2,3,0.0,0.0
2020-02-01,dengue,Kerala,4,5,0.0,0.0
2020-02-01,hepatitis_a_probable,Kerala,2,2,0.0,0.0
2020-02-01,typhoid,Kerala,1,1,0.0,0.0
2020-02-02,hepatitis_a_probable,Kerala,1,1,0.0,0.0
2020-02-02,typhoid,Kerala,1,1,0.0,0.0
2020-02-04,chicken_pox,Kerala,3,3,0.0139049661213929,0.0139049661213929
2020-02-05,chicken_pox,Kerala,3,3,0.0,0.0
2020-02-06,chicken_pox,Kerala,2,2,0.0,0.0
2020-03-01,dengue,Kerala,1,1,0.0,0.0
2020-03-01,fever_ip,Kerala,1,1,0.0,0.0
2020-03-01,hepatitis_a_confirmed,Kerala,1,1,0.0,0.0
2020-03-01,scrub_typhus,Kerala,2,2,0.0,0.0
2020-03-02,fever_ip,Kerala,3,3,0.0133601871946466,0.0133601871946466
2020-03-02,hepatitis_a_confirmed,Kerala,3,3,0.0,0.0
2020-03-02,malaria,Kerala,2,2,0.0,0.0
2020-03-02,scrub_typhus,Kerala,1,1,0.0,0.0
2020-03-03,fever_ip,Kerala,1,1,0.0,0.0
2020-03-03,hepatitis_a_confirmed,Kerala,3,3,0.0,0.0
2020-03-03,malaria,Kerala,1,1,0.0,0.0
2020-03-04,fever_ip,Kerala,1,1,0.0,0.0
2020-03-04,hepatitis_a_confirmed,Kerala,2,2,0.0,0.0
2020-03-04,hepatitis_a_probable,Kerala,2,2,0.0,0.0
2020-03-05,hepatitis_a_confirmed,Kerala,5,5,0.0,0.0
2020-03-05,hepatitis_a_probable,Kerala,1,1,0.0,0.0
2020-03-06,hepatitis_a_confirmed,Kerala,3,3,0.0,0.0
2020-03-06,hepatitis_a_probable,Kerala,1,1,0.0,0.0
