State,District,Disease,ISO_Year,ISO_Week,Cases,Deaths,Latitude,Longitude,Precipitation,Surface Temperature,LAI,Date,fever_cases,fever_rate,headache_cases,headache_rate,chills_cases,chills_rate,muscle_pain_cases,muscle_pain_rate,joint_pain_cases,joint_pain_rate,joint_swelling_cases,joint_swelling_rate,fatigue_cases,fatigue_rate,nausea_cases,nausea_rate,vomiting_cases,vomiting_rate,rash_cases,rash_rate,retro_orbital_pain_cases,retro_orbital_pain_rate,abdominal_pain_cases,abdominal_pain_rate,diarrhea_cases,diarrhea_rate,watery_diarrhea_cases,watery_diarrhea_rate,dehydration_cases,dehydration_rate,weakness_cases,weakness_rate,altered_mental_status_cases,altered_mental_status_rate,seizures_cases,seizures_rate
Andaman And Nicobar Islands,Andaman,Acute Diarrhoeal Disease,2019,23,8.0,0.0,13.51111965,92.91738842,0.77260494,301.72,33.0,2019-06-06,4,0.5,0,0.0,1,0.125,0,0.0,0,0.0,0,0.0,0,0.0,2,0.25,2,0.25,0,0.0,0,0.0,7,0.875,6,0.75,0,0.0,2,0.25,5,0.625,0,0.0,0,0.0
Andaman And Nicobar Islands,Andaman,Acute Diarrhoeal Disease,2019,41,30.0,0.0,13.51111965,92.91738842,0.1498575146,298.9066666,42.0,2019-10-09,5,0.1666666666666666,0,0.0,2,0.0666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,13,0.4333333333333333,8,0.2666666666666666,0,0.0,0,0.0,21,0.7,27,0.9,0,0.0,3,0.1,19,0.6333333333333333,0,0.0,0,0.0
Andaman And Nicobar Islands,North And Middle Andaman,Acute Diarrhoeal Disease,2013,51,86.0,0.0,12.61123865,92.83165406,0.1881493739,298.2,53.0,2013-12-16,16,0.1860465116279069,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.1511627906976744,14,0.1627906976744186,0,0.0,0,0.0,41,0.4767441860465116,57,0.6627906976744186,0,0.0,0,0.0,35,0.4069767441860465,0,0.0,0,0.0
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2011,25,128.0,0.0,14.6546235,77.55625984,0.02771473402,307.82,,2011-06-26,46,0.359375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33,0.2578125,30,0.234375,0,0.0,0,0.0,84,0.65625,95,0.7421875,0,0.0,10,0.078125,81,0.6328125,0,0.0,0,0.0
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2011,35,25.0,0.0,14.6546235,77.55625984,0.2521427967,,7.0,2011-09-03,13,0.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.28,5,0.2,0,0.0,0,0.0,18,0.72,22,0.88,0,0.0,3,0.12,15,0.6,0,0.0,0,0.0
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2012,20,25.0,0.0,14.6546235,77.55625984,0.08289797767,312.8,3.0,2012-05-18,10,0.4,0,0.0,2,0.08,0,0.0,0,0.0,0,0.0,0,0.0,11,0.44,8,0.32,0,0.0,0,0.0,17,0.68,25,1.0,0,0.0,11,0.44,17,0.68,0,0.0,0,0.0
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2013,23,59.0,0.0,14.6546235,77.55625984,0.1960967701,,2.0,2013-06-04,26,0.4406779661016949,0,0.0,7,0.1186440677966101,0,0.0,0,0.0,0,0.0,0,0.0,19,0.3220338983050847,23,0.3898305084745763,0,0.0,0,0.0,46,0.7796610169491526,51,0.864406779661017,0,0.0,13,0.2203389830508474,43,0.7288135593220338,0,0.0,0,0.0
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2013,32,34.0,2.0,14.6546235,77.55625984,0.03424359017,308.62,,2013-08-05,11,0.3235294117647059,0,0.0,3,0.088235294117647,0,0.0,0,0.0,0,0.0,0,0.0,14,0.4117647058823529,17,0.5,0,0.0,0,0.0,24,0.7058823529411765,30,0.8823529411764706,0,0.0,8,0.2352941176470588,28,0.8235294117647058,0,0.0,0,0.0
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2014,26,12.0,0.0,14.6546235,77.55625984,0.00685651061,307.90500000000003,3.0,2014-06-27,6,0.5,0,0.0,2,0.1666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,5,0.4166666666666667,5,0.4166666666666667,0,0.0,0,0.0,9,0.75,12,1.0,0,0.0,1,0.0833333333333333,11,0.9166666666666666,0,0.0,0,0.0
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2015,25,71.0,0.0,14.6546235,77.55625984,0.1592405045,313.15000000000003,5.0,2015-06-15,31,0.4366197183098591,0,0.0,8,0.1126760563380281,0,0.0,0,0.0,0,0.0,0,0.0,41,0.5774647887323944,33,0.4647887323943662,0,0.0,0,0.0,54,0.7605633802816901,68,0.9577464788732394,0,0.0,22,0.3098591549295774,49,0.6901408450704225,0,0.0,0,0.0
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2016,22,11.0,0.0,14.6546235,77.55625984,0.09720540554,312.5,4.0,2016-06-02,6,0.5454545454545454,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.6363636363636364,5,0.4545454545454545,0,0.0,0,0.0,7,0.6363636363636364,9,0.8181818181818182,0,0.0,2,0.1818181818181818,10,0.9090909090909092,0,0.0,0,0.0
Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2021,9,30.0,0.0,14.6546235,77.55625984,3.87e-05,313.216,,2021-03-05,9,0.3,0,0.0,1,0.0333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,14,0.4666666666666667,14,0.4666666666666667,0,0.0,0,0.0,26,0.8666666666666667,27,0.9,0,0.0,5,0.1666666666666666,22,0.7333333333333333,0,0.0,0,0.0
Andhra Pradesh,Anantapur,Cholera,2012,51,23.0,0.0,14.6546235,77.55625984,9.79e-05,306.06,6.0,2012-12-20,5,0.217391304347826,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,0.6086956521739131,0,0.0,0,0.0,8,0.3478260869565217,0,0.0,20,0.8695652173913043,10,0.4347826086956521,10,0.4347826086956521,0,0.0,0,0.0
Andhra Pradesh,Anantapur,Malaria,2010,23,68.0,0.0,14.6546235,77.55625984,0.2540483378,311.175,,2010-06-09,55,0.8088235294117647,39,0.5735294117647058,41,0.6029411764705882,16,0.2352941176470588,0,0.0,0,0.0,46,0.6764705882352942,5,0.0735294117647058,5,0.0735294117647058,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,0.2352941176470588,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2010,13,14.0,0.0,13.1601048,79.15555062,0.05093987381,310.872,7.0,2010-04-03,3,0.2142857142857142,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.6428571428571429,3,0.2142857142857142,0,0.0,0,0.0,8,0.5714285714285714,11,0.7857142857142857,0,0.0,1,0.0714285714285714,8,0.5714285714285714,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2010,17,30.0,0.0,13.1601048,79.15555062,0.007357521231,309.85200000000003,7.0,2010-04-27,10,0.3333333333333333,0,0.0,2,0.0666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,12,0.4,12,0.4,0,0.0,0,0.0,24,0.8,25,0.8333333333333334,0,0.0,4,0.1333333333333333,23,0.7666666666666667,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2010,20,81.0,0.0,13.1601048,79.15555062,0.01809973349,310.2905,11.0,2010-05-17,31,0.382716049382716,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29,0.3580246913580246,26,0.3209876543209876,0,0.0,0,0.0,52,0.6419753086419753,73,0.9012345679012346,0,0.0,15,0.1851851851851851,55,0.6790123456790124,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2010,24,25.0,3.0,13.1601048,79.15555062,0.4111052578999999,304.84000000000003,11.0,2010-06-14,11,0.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.24,5,0.2,0,0.0,0,0.0,11,0.44,18,0.72,0,0.0,1,0.04,14,0.56,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2010,30,9.0,0.0,13.1601048,79.15555062,0.0265531894,301.38,,2010-07-28,3,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1111111111111111,5,0.5555555555555556,0,0.0,0,0.0,4,0.4444444444444444,8,0.8888888888888888,0,0.0,1,0.1111111111111111,7,0.7777777777777778,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2010,45,12.0,0.0,13.1601048,79.15555062,0.9832204595,298.865,13.0,2010-11-13,7,0.5833333333333334,0,0.0,4,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,8,0.6666666666666666,7,0.5833333333333334,0,0.0,0,0.0,9,0.75,12,1.0,0,0.0,2,0.1666666666666666,8,0.6666666666666666,0,0.0,0,0.0
Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,2010,46,12.0,0.0,13.1601048,79.15555062,0.3034626315,299.42,13.0,2010-11-15,1,0.0833333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.4166666666666667,5,0.4166666666666667,0,0.0,0,0.0,8,0.6666666666666666,11,0.9166666666666666,0,0.0,3,0.25,9,0.75,0,0.0,0,0.0
